ID,DOB,AGE,ALGO TYPE,DEMO,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,NUMBER_MOVEMENTS,NOTES
94,,13,double,,red,left,blue,right,red,left,blueblue,right,red,left,blueblue,right,blueblue,right,red,left,blueblue,right,red,left,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,12,
94,,13,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,blue,right,,,,,,,,,,,,,,,,,10,
97,,11,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,14,
97,,11,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
97,,11,hitch,,redblack,left,blackblue,right,redblack,left,blueblack,right,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
99,,6,sort,,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,red ,left,blue,right,red,left,red,left,blue,right,blue ,right,red,left,red,left,,,,,,,,,,,,,,,15,
99,,6,double,,redred,left,red,left,red,left,blueblue,right,redred,left,blueblue,right,red,left,blueblue,right,redred,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
99,,6,hitch,,blackred,left,redblack,left,blackred,left,blackblue,right,blackred,left,redblack,left,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
100,,10,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
100,,10,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10,
100,,10,hitch,,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,rredblack,left,blueblack,right,redblack,left,blueblack,right,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9,
105,,7,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red ,left,blue ,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,11,
105,,7,double,,red,left,blue,right,red,left,red,left,blue,right,red,left,red,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
105,,7,hitch,,blackblue,right,redblack,left,blackblue,right,blackred,left,blackblue,right,blackblue,right,bluec,left,blue,right,blackred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
106,,9,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,20,
106,,9,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,12,
106,,9,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,13,
113,,13,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,16,
113,,13,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,14,
113,,13,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,11,
123,,8,sort,,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue ,right,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,16,
123,,8,double,,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,,,,,,,,,,,,,,,,,,,,,,,,,10,
123,,8,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,11,
124,,6,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue ,right,red,left,blue ,right,23,
124,,6,double,,redred,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,20,
124,,6,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
N/A,,N/A,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,17,
N/A,,N/A,double,,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,redred,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,,,,,,,,,,,,,,,,,,,14,
N/A,,N/A,hitch,,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
127,,7,sort,,blue,right,red,left,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
127,,7,double,,redred,left,blueblue,right,blueblue,right,redred,left,blueblue,right,redred,left,blueblue,right,redred,left,blueblue,right,redred,left,,,,,,,,,,,,,,,,,,,,,,,,,10,
127,,7,hitch,,blueblack,right,blueblack,left,redblack,left,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
128,,11,sort,,blue,right,red,left,blue,right,red,left,blue,right,blue,right,redred,left,blue,right,red,left,red,left,redc,right,red ,left,blue,right,blue,right,red,left,red,left,blue,right,red,left,blue,right,blue,right,redred,left,,,21,
128,,11,double,,blueblue ,right,red,left,blueblue,right,blue,right,red,left,blueblue,right,red,left,blue,right,blueblue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,,,,,,,,,18,
128,,11,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,15,
129,,8,sort,,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,redred,left,blueblue,right,red,left,blue,right,red ,left,,,,,,,20,
129,,8,double,,red,left,red,left,blue,right,blueblue,right,redred,left,blue,right,red ,left,blue,right,red,left,blue,right,red,left,redred,left,bluebluec,left,blueblue,right,redredred,left,blueblue,right,blue,right,redred,left,redred,right,,,,,,,19,
129,,8,hitch,,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,12,
134,,6,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,
134,,6,double,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,
134,,6,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,8,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,
135,,8,double,,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,blueblue,right,red,left,,,,,,,,,,
135,,8,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,6,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,blue,right,right,left,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,
138,,6,double,,red,left,blueblue ,right,red,left,blueblue ,right,redred,,left,blueblue,right,blueblue,right,red,left,blueblue ,right,redred,left,blueblue,right,red,left,blue,right,redred,left,blue,right,red,left,blue,right,,,,,,,,,,,
138,,6,hitch,,redblack,left,blueblack,right,blueblack,right,blueblackc,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,
139,,5,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,,
